Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C1uF","C_0402_1005Metric",37.100000,-37.900000,-55.000000,top
"C2","C10uF","C_0402_1005Metric",54.100000,-76.400000,90.000000,top
"C3","C1uF","C_0402_1005Metric",61.620000,-75.900000,0.000000,top
"C4","C2.2uF","C_0402_1005Metric",77.120000,-78.900000,180.000000,top
"C5","C10uF","C_0402_1005Metric",78.120000,-73.400000,0.000000,top
"C7","C1uF","C_0402_1005Metric",92.174617,-68.762149,170.000000,top
"C8","C1uF","C_0402_1005Metric",82.598053,-85.349244,130.000000,top
"C9","C1uF","C_0402_1005Metric",64.600000,-91.900000,90.000000,top
"C10","C1uF","C_0402_1005Metric",46.601947,-85.349244,50.000000,top
"C11","C1uF","C_0402_1005Metric",37.025383,-68.762149,10.000000,top
"C13","C1uF","C_0402_1005Metric",64.620000,-35.400000,-90.000000,top
"C14","C1uF","C_0402_1005Metric",92.174617,-59.037851,-170.000000,top
"C15","C1uF","C_0402_1005Metric",46.601947,-42.450756,-50.000000,top
"C16","C1uF","C_0402_1005Metric",37.025383,-59.037851,-10.000000,top
"C17","C1uF","C_0402_1005Metric",82.598053,-42.450756,-130.000000,top
"D1","SS14","D_SMA",65.600000,-79.900000,90.000000,top
"D2","150040VS73220","LED_0402_1005Metric",98.600000,-39.900000,45.000000,top
"D3","150040BS73220","LED_0402_1005Metric",86.600000,-30.400000,45.000000,top
"D4","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",36.600000,-63.900000,-90.000000,top
"D5","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",38.288607,-73.476564,-70.000000,top
"D6","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",43.150756,-81.898053,-50.000000,top
"D7","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",50.600000,-88.148711,-30.000000,top
"D8","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",59.737851,-91.474617,-10.000000,top
"D9","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",69.462149,-91.474617,10.000000,top
"D10","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",78.600000,-88.148711,30.000000,top
"D11","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",86.049244,-81.898053,50.000000,top
"D12","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",90.911393,-73.476564,70.000000,top
"D13","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",92.600000,-63.900000,90.000000,top
"D14","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",90.911393,-54.323436,110.000000,top
"D15","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",86.049244,-45.901947,130.000000,top
"D16","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",78.600000,-39.651289,150.000000,top
"D17","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",69.462149,-36.325383,170.000000,top
"D18","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",59.737851,-36.325383,-170.000000,top
"D19","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",50.600000,-39.651289,-150.000000,top
"D20","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",43.150756,-45.901947,-130.000000,top
"D21","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",38.288607,-54.323436,-110.000000,top
"J1","USB4105","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",92.600000,-36.400000,135.000000,top
"J2","S2B-PH-K-S","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",96.514214,-81.814214,135.000000,top
"Q1","FDN340P","SOT-23",72.037500,-80.950000,0.000000,top
"Q2","BSS138","SOT-23",44.162500,-68.400000,0.000000,top
"Q3","MMFTN170","SOT-23",74.650000,-97.900000,-90.000000,top
"R1","R10K","R_0402_1005Metric",51.600000,-58.900000,180.000000,top
"R2","R5.1k","R_0402_1005Metric",84.600000,-34.900000,-135.000000,top
"R3","R5.1k","R_0402_1005Metric",95.239376,-42.260624,45.000000,top
"R4","R10K","R_0402_1005Metric",76.600000,-60.900000,180.000000,top
"R5","R10K","R_0402_1005Metric",51.600000,-66.900000,0.000000,top
"R6","R100K","R_0402_1005Metric",51.100000,-61.400000,-90.000000,top
"R7","R100K","R_0402_1005Metric",49.600000,-61.400000,90.000000,top
"R8","R100K","R_0402_1005Metric",71.100000,-75.900000,90.000000,top
"R9","R100K","R_0402_1005Metric",51.100000,-76.400000,90.000000,top
"R10","R10K","R_0402_1005Metric",79.090000,-61.900000,90.000000,top
"R11","R330","R_0402_1005Metric",99.100000,-45.400000,-90.000000,top
"R12","R10K","R_0402_1005Metric",51.590000,-65.400000,0.000000,top
"R13","R10K","R_0402_1005Metric",47.100000,-68.900000,90.000000,top
"R14","R470","R_0402_1005Metric",43.590000,-60.400000,180.000000,top
"R15","R2K","R_0402_1005Metric",80.590000,-78.900000,180.000000,top
"R16","R10K","R_0402_1005Metric",75.600000,-94.400000,-90.000000,top
"SW1","PTS645","SW_SPST_PTS645",43.600000,-33.734695,-140.000000,top
"SW2","PTS645","SW_SPST_PTS645",32.378788,-46.056214,65.000000,top
"SW3","PTS645","SW_SPST_PTS645",64.600000,-100.900000,180.000000,top
"SW4","PTS645","SW_SPST_PTS645",101.600000,-63.900000,-90.000000,top
"SW5","PTS645","SW_SPST_PTS645",64.600000,-26.900000,0.000000,top
"SW6","PTS645","SW_SPST_PTS645",27.600000,-63.900000,90.000000,top
"SW7","SLW-1277545-3A-RA-N-D","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",91.470058,-90.770058,47.000000,top
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",64.600000,-63.900000,0.000000,top
"U2","TLV75533PDYDR","SOT-23-5",57.600000,-76.900000,0.000000,top
"U3","TP4057","TSOT-23-6",78.650000,-76.262500,-90.000000,top
